Genomic bins	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin.8	0.189738600101	0.330282636038	0.26178115826	0.0898092762586	0.116208710753	0.0498467527656	0.0586893692296	0.037411514882	0.00840940568107	0.00210445581602	0.0030608006425	0.00186704627381	0.00143089611849	0.00152303552495	0.0	1.4441883261e-06	1.54986899892e-05
bin.53	0.323776023906	0.113101322184	0.107921213714	0.0650498358139	0.0723494635365	0.112473768537	0.195206301633	0.0789769192499	0.0194571826128	0.00409274344962	0.00830320227874	0.0038821142499	0.00367973443148	0.00400832111984	0.0	0.0	5.04970403188e-06
bin.12	0.000637021833644	0.000216354129242	0.000212793121934	0.000356591298509	0.000437826394726	0.000596682346757	0.023932713265	0.300981371581	0.622912805077	0.0611033337083	0.0171399034323	0.0103278694507	0.00600029424846	0.00571735245538	0.0	3.97382331419e-06	9.85196598421e-06
bin.1	0.00509115350178	0.000781954145159	0.000733295725771	0.000902228595197	0.000856190591847	0.000643121301495	0.00138568852328	0.0173168889655	0.293344585927	0.119807529344	0.250802693479	0.159276194359	0.133228839898	0.120369373288	5.33219559061e-06	1.52439372916e-06	3.50233939458e-05
bin.45	0.190028820978	0.106323983499	0.0785536998244	0.0238990101648	0.0482002309752	0.0437873120623	0.0646026202907	0.039025312981	0.021182126078	0.0148491083679	0.0341367582599	0.0253300513704	0.0158710029976	0.0143827894732	0.0	0.0	4.30475731863e-06
bin.26	0.00168092339767	0.000617442810015	0.00027792093407	0.000326241775618	0.000309785295801	0.000248352905461	0.000272509674336	0.000218715175903	0.000252631200658	0.00014177265968	0.000587485839804	0.000343500341873	0.000696711768245	0.000374985504369	3.60779632269	9.26263327293	0.510494586342
bin.19	0.00122469623182	0.000399643076868	0.000225631682135	0.000348627055164	0.0710444193018	0.429407088356	1.12169446156	0.384370264623	0.0393600148067	0.0072220180308	0.00399083326517	0.00267430386372	0.00263967989861	0.00464513831614	0.0	4.34728127892e-06	6.01667668208e-06
bin.84	0.00142186951658	4.68820618377e-05	0.000116106374812	3.0362862681e-05	0.000365425781226	0.000267133944327	0.000646672931148	0.00279724768613	0.0295749060666	0.0357864992047	0.147006374876	0.104657893261	0.0707224138541	0.0689011019296	0.0	0.0	0.0
bin.74	0.00188959147397	0.000405325731603	0.00040322729602	0.000401391978331	0.000543828248001	0.000351520793284	0.000449149678114	0.000344255816849	0.00342654398338	0.0105357632164	0.0779881174613	0.0730160952164	0.0490687670251	0.0485531983642	0.00522245005033	0.0148300457925	7.76681254044e-06
bin.10	0.00359030744599	0.000235051432301	0.000165225071564	0.000231485784499	0.000337691180154	0.000131521994654	0.000196682086028	0.000210474587939	0.00256229412918	0.00576202880795	0.112864202245	0.0800665255233	0.0763035209889	0.122485153086	1.51922973384e-06	0.0	5.24355560725e-06
bin.82	0.239815723475	1.18156109743	0.851665415355	0.0398620022658	0.0342679279281	0.0157317368216	0.018298581458	0.0124907080385	0.00678006769782	0.00365186056095	0.00791217768752	0.00579439970761	0.00354412798028	0.00343935745674	0.0	2.50973996506e-05	1.32505778895e-05
bin.63	0.0014033029165	0.000297526848071	0.00024492978129	0.000353374203746	0.181123000287	0.401674273748	0.716565479675	0.145685480844	0.0146376340004	0.00156845294465	0.00157982334582	0.00120208262651	0.000981028938414	0.00143830866872	0.0	0.0	1.45535730786e-05
bin.42	0.0299954827955	0.0088994322361	0.0106397643604	0.0473253473986	0.0482818421832	0.119697192454	0.131497426381	0.0341659586204	0.0244717402702	0.00246358716964	0.000867387384042	0.000485768077297	0.000416532883819	0.000545913220571	9.33764417257e-07	8.69488084683e-07	1.12546660628e-05
