Genomic bins	B7_22mMystic	B9_PosControlEColiMystic	A3_1mMystic	A7_9mMystic	B3_17mMystic	A5_5mMystic	H2_PosControlEBAlly	A4_3mMystic	B5_20mMystic	B1_13mMystic	A1_FB_ShallowInflow	B6_21mMystic	B2_15mMystic	H3_PosControlEMAlly	B4_19mMystic	A6_7mMystic	A8_11mMystic
bin.32	0.116052531867	0.0	10.7373273463	0.418257060985	0.132186699196	1.20453760251	0.00298152009487	9.94448630734	0.124909497774	0.351232591628	9.02344935702	0.12067613049	0.142732875586	0.0689040277964	0.119819637714	0.908590074903	0.336470404266
bin.81	2.29040436953	0.00682173172491	2.21037192168	3.9617944416	3.43456332185	5.12235957777	0.0	2.01831675228	3.69968453109	5.68499238803	2.65476728031	2.77494968809	2.62595943958	0.0	3.37837099607	5.63966040256	4.36958868499
bin.149	1.10123570241	0.0	0.635335839747	2.95914207789	1.72638550046	1.19856339734	0.0	0.643787652491	1.79731423416	7.26325864982	0.440951376666	1.37723630702	2.47794882089	0.0	1.68437930842	2.24986320227	3.53648175673
bin.114	0.017336513394	0.0	0.371710934603	4.46477252815	0.0313545320246	2.01118714201	0.0	0.288303190177	0.0163172098713	0.176307994477	0.387799174265	0.0168101029142	0.0270503049267	0.0	0.0182172020468	19.1474855232	2.45337673886
bin.255	3.29834355179	0.00871616738851	0.00701922965896	0.0427985352861	58.222945902	0.0178634672179	0.0	0.00604633911935	4.4081714074	26.7265175611	0.064951846119	3.9425480976	117.877936017	0.0	5.30887949252	0.0149974604742	1.16995336105
bin.83	0.19918424053	0.00138327037739	0.450229958125	2.76492021573	0.208283632225	21.2823268847	0.000592293653058	0.593011210777	0.180669274292	0.41132731797	0.588333445454	0.190828239843	0.309169532062	0.0354190893708	0.183353243826	5.27950139169	0.753467828978
bin.62	8.09730956661	0.0	7.95507637934	32.2972992737	14.118441421	58.7602825253	0.0069591087806	7.71860378765	12.5656597344	33.2634184209	3.65896186424	10.061379143	13.6056175491	0.0252137612563	12.0097763313	45.5864460634	32.9389334236
bin.177	0.269378973416	0.0	0.17277494545	0.50440750162	1.26221687651	0.412331562931	0.0	0.180936895378	0.358535726405	8.76061470391	0.195539547157	0.292879986236	5.27867885314	0.00604989837741	0.354163047366	0.384696666003	1.05651137293
bin.8	3.28795020312	0.00660045851451	82.9807361679	6.40162184472	3.27625205445	7.84822729283	0.012717405388	75.6883379085	4.40241931735	4.20979903552	33.1057596969	3.67337092239	1.76820977692	0.0209291597462	4.14779353808	6.87168809605	5.9094687549
bin.148	8.63627262199	0.00535039069264	0.017248531908	0.0297859327922	13.2150117509	0.0288148312071	0.0	0.0300688582019	11.1923850464	0.393316436799	0.171180870063	10.4002486372	6.3860660579	0.0113092879406	11.7114538961	0.03614674127	0.0650608191203
bin.53	2.10706813805	0.00729863697053	9.11840518067	10.7554551111	4.91225744677	20.294688361	0.00543892302592	7.5222882647	2.85421240002	16.757092438	4.97914877276	2.46549005486	6.93970326019	0.00999809348273	2.65181520493	9.45326917088	10.3106616334
bin.96	0.0553212829806	0.0240265978324	0.0682860481221	0.0478435654017	0.041867856633	0.0806166198534	0.0184024949893	0.0752627487723	0.0502212901009	0.0330191616813	0.127340662162	0.0568657181267	0.0458263029277	179.495615157	0.0480168930764	0.0402571144687	0.0480521144989
bin.138	0.411206913726	0.0	0.250558292449	6.97293444084	1.28705893856	1.00522655058	0.00229841082215	0.312727062531	0.571168877826	6.19064398918	0.2866387702	0.472757235506	3.21441781872	0.0148407001321	0.538735720432	5.39710214627	4.58190366657
bin.12	2.78755604219	0.0	44.4747338987	5.71718601384	3.88789828107	4.17797379884	0.00584746788879	42.5849234875	3.94568842923	8.86820103015	23.037744587	3.19543677524	2.96590133256	0.0360912633419	3.9507938247	5.21730420157	8.65859589893
bin.1	4.86391006952	0.419451245113	108.887288867	31.7400173233	7.1172702451	31.2179767732	0.299189717159	103.74525737	6.73348121838	20.5985636507	57.9850493949	5.48506818215	7.78762663437	0.808053606753	6.50243607167	35.7619346639	28.5265687371
bin.129	8.47454689195	0.00670821406577	0.0993705902084	0.0912799172779	17.1588522336	0.178288705103	0.0	0.102844318849	11.0092082255	0.85839692084	0.326109650004	10.3502591681	13.5606855393	0.056347139251	11.7089103547	0.120088551592	0.134573185502
bin.45	1.78232579716	0.0953191685246	0.300714469041	376.469167202	3.72684224292	0.493179498112	0.0788061196528	0.342068286976	0.876872498981	74.6895782889	6.45787767505	1.0847792382	7.97828940042	0.0	1.05471415471	38.0291973643	571.925564666
bin.225	0.959705000984	0.0	0.0192431935549	0.0825431709995	12.2294171827	0.0429393163348	0.00328371409322	0.0229010378239	1.61943255995	36.800207331	0.0368745087605	1.12257367228	48.2090694315	0.0105728359304	1.74236551369	0.0464372031283	1.96268665483
bin.141	14.7574732294	0.0	0.0115490959276	0.00392724725497	23.1616549334	0.015479011811	0.0	0.00913136488038	20.5746121445	0.935862224023	0.169140091788	19.2546747184	11.3227636819	0.0183601780325	20.9693995161	0.0101343488311	0.0274621396877
bin.26	0.0880632453198	0.0	21.2654046786	0.0746181467434	0.0829667853492	0.438101504088	0.00372946737039	20.8644463087	0.0757153580678	0.0813454158333	9.61487902559	0.0825785790809	0.0564759494456	0.0	0.0883722594617	0.162274727863	0.0947369198816
bin.156	0.0813209163533	0.0	0.345325424656	4.37532295325	0.187113510831	0.824289285711	0.0	0.476654061646	0.152629128141	4.63018221343	0.330455359491	0.115357047282	0.529127868913	0.0	0.137187058049	1.76383077096	6.53696558841
bin.19	0.29558296657	0.0	17.5877035841	0.736699090906	0.239609596843	0.857896027846	0.00307462500677	16.3907494614	0.328369535618	0.478586471751	14.0589555983	0.283268954464	0.161574709762	0.00177060622676	0.296712437292	0.92173694237	0.61620909386
bin.205	0.586949228269	0.0	0.0535111242473	0.14853671271	3.86483000779	0.0997984766755	0.0	0.0607534339616	0.900834390931	4.77214122714	0.189502945118	0.717265852748	10.7114940906	0.0	0.830340533742	0.0774034258216	1.18308706913
bin.143	2.31346264831	0.00116171512979	0.312715569477	2.54715271361	3.21131569406	0.499831826395	0.00181044794819	0.30622070856	3.20578876616	7.05587969084	1.45777922126	2.81179009562	2.63289759569	0.0	3.14925405459	1.23768911537	5.01401577384
bin.119	1.23029606388	0.0	0.134463648058	0.177648601802	4.18703862031	0.509137625665	0.0	0.149249078854	1.18974208957	1.23040654639	0.326230784965	1.27976782462	8.16310081947	0.0282735041227	1.29430815845	0.0945125199171	0.237178655584
bin.134	0.311578278544	0.0	1.37657719605	5.91724607415	0.713072162935	4.24341101476	0.0	1.54314387071	0.403946188924	4.44684801098	0.926786485754	0.365234257224	0.986642685413	0.0206333595248	0.45147002269	9.40941137042	4.4487892755
bin.84	0.0628552273477	0.0	0.206641594402	1.40572388766	0.086093068396	50.1135017954	0.0	0.349306772677	0.0462385440441	0.348994382492	0.148613847713	0.0545303025364	0.127116245198	0.0231458145306	0.0524527501396	4.38221587204	0.676075044106
bin.74	0.349680206363	0.0	1.0475207938	6.75405807892	0.707594022033	3.4061205378	0.0101475253985	1.07298441473	0.442514399856	2.97303657274	1.24696730826	0.495845222465	1.25972656831	0.095790106568	0.473151961535	3.90181494797	3.61405884371
bin.108	0.340026819424	0.0	0.988376863534	8.3032828591	0.40698989716	0.901224980913	0.00719867844743	1.05866590692	0.311171573141	2.30461571599	0.909250873402	0.358934913347	0.693006292976	0.008186446421	0.297305041382	2.06335702588	7.78854877716
bin.155	0.182010648489	0.0	0.518494561803	6.9104285694	0.61885529105	2.35350193149	0.0	0.605796351999	0.301310512587	3.19352260937	0.753697280148	0.196483260807	1.38134465398	0.0	0.20575264986	2.40921449961	7.15542575789
bin.24	0.299214372446	0.0	17.9088133893	1.89244211319	0.197195112567	2.13972959309	0.00222096410658	17.0347531191	0.256119220168	0.906938118876	13.3375515225	0.286923917188	0.190236061197	0.0328131066872	0.240172450895	1.941628365	1.52186375604
bin.10	2.4539792453	0.0	45.2630621325	12.9643117791	3.57490623393	9.12043904031	0.0100399559168	45.050283097	3.4371739066	11.9390661203	23.3420889613	2.92593951076	3.40326484857	0.864079724482	3.48630838162	11.9748409768	14.5579430865
bin.229	5.07365038819	11.0686015844	0.0290166529575	0.448938351094	3.16341103698	0.0678931693862	13.4301780227	0.0323941323041	7.11450949617	2.55531109073	0.126256245096	5.86506500404	1.83091653908	0.0482501858618	7.05205417872	0.0729797708078	2.73061582978
bin.222	0.145069383654	0.0	1.2815078256	16.9617615189	0.324316358136	2.10834760458	0.00303297996609	1.22847819188	0.237736176677	5.18073463452	0.278160881611	0.184522153544	0.759257093104	0.0121763146669	0.204248221729	15.6351082772	11.2407182446
bin.161	31.3815707285	0.00282230231637	0.0315987671288	0.00833297904898	1.10838517208	0.0300110284776	0.00115235542008	0.0481567735336	20.7258093838	0.0272531628675	0.264271339358	22.7195111689	0.124126397309	0.0	16.9918392831	0.0371397070862	0.0181385726701
bin.82	19.7774042185	0.0119734731195	0.0663712996925	0.0503594907088	23.5205674021	0.077398481074	0.0012969372255	0.0786583309315	24.266471909	2.09625814152	0.280293910399	24.2554480475	21.7759974629	0.0386975754995	25.0365131837	0.0437726973984	0.108909948089
bin.90	52.313800595	0.00788026831014	0.0247869641585	0.0106878378963	2.25561309347	0.0193897718164	0.00151786578222	0.0345574287769	20.3674812216	0.0349573015494	0.786006375847	29.137811612	0.141513890772	0.000926595846461	15.0372092603	0.0156760110706	0.0265035334007
bin.63	0.582265470358	0.0	1.32411629102	5.11711696319	0.894244549744	5.19718745368	0.0	1.19602552228	0.676791267883	3.33084955537	2.20494455572	0.644447545134	1.51895810744	0.064646468672	0.69189644367	3.3415338267	3.95043522939
bin.42	0.0874785000341	0.0	34.1630706155	0.0864474280241	0.0762389453997	1.03588683819	0.00159196413968	31.0739734326	0.0807120175999	0.0979893120538	6.45157549564	0.0752535027855	0.0902458507565	0.047545475285	0.0723189916882	0.115052261227	0.0810747066856
bin.80	0.284898831755	0.0	1.79115966214	6.8531190521	0.478133533532	3.11891291299	0.0	2.1774722981	0.317751928966	2.28471084706	0.910342970581	0.273484485549	0.592951527462	0.0102101886001	0.295012663869	10.8131319488	4.58666381512
bin.3	0.0305197881836	0.0	4.74121777071	0.130103579633	0.0437352855909	11.3348153288	0.00381964968078	7.61091901436	0.0251826642846	0.0739620555684	42.5434942214	0.0225322198909	0.0309306413282	0.00664976103188	0.017484243475	9.77063179194	0.154106706153
bin.241	6.38097902138	0.0038820359777	0.0135343345363	0.0124315748098	13.3278243436	0.0154873024291	0.0	0.0117889924831	9.20145323307	4.91826090864	0.0508506053577	7.66667043093	20.428720169	0.00269728171867	10.1459343603	0.0162133372889	0.057705340341
bin.68	0.427526656546	0.0	1.58640604932	4.41201033158	0.614440778177	11.3740164964	0.0	1.62236629717	0.438034491518	3.29486846859	2.09781292511	0.417520540786	1.10024476933	0.020972139713	0.479462263172	4.50734567878	2.90044070668
bin.0	0.123428343963	0.0	3.72658017165	0.683035426141	0.0728899871887	1.29268480151	0.00405121836762	3.18884135529	0.0862363646684	0.360083239734	64.8049693104	0.09586374405	0.0743739923246	0.0328392112728	0.097141941361	0.159424504041	0.838980257328
bin.173	6.62515630651	0.0	0.0473337315697	0.0968934073138	8.04379545168	0.0518797136768	0.0	0.0481611837178	6.43490476623	0.592077886882	0.0671797177461	6.79886832987	4.08589436146	3.568470668	6.88467634684	0.0570789831536	0.275522366609
bin.186	0.167445717696	0.0	1.19049121819	9.72777755775	0.145844297611	2.69156154325	0.0019287705542	1.03065851725	0.177105523017	1.43960518999	0.421875537898	0.174700802663	0.255966435504	0.0231281841859	0.148925582964	14.4169114945	5.07232012926
