Gene_Sequence	A1_FB_ShallowInflow	A3_1mMystic	A4_3mMystic	A5_5mMystic	A6_7mMystic	A7_9mMystic	A8_11mMystic	B1_13mMystic	B2_15mMystic	B3_17mMystic	B4_19mMystic	B5_20mMystic	B6_21mMystic	B7_22mMystic	B9_PosControlEColiMystic	H2_PosControlEBAlly	H3_PosControlEMAlly
bin_3_NNNGIFOF_00006	101.298106	349.784702	471.654101	294.408002	79.867731	27.336533	80.593164	71.960267	31.203718	20.79237	10.818935	4.342728	5.11213	4.597118	0.0	0.0	0.0
bin_3_NNNGIFOF_00555	11.152712	18.235363	0.0	209.567909	38.712198	15.207789	28.323498	45.841561	10.834719	15.166102	0.0	5.26849	6.197295	5.57551	53.555798	9.785007	0.0
bin_3_NNNGIFOF_01111	0.0	12.863596	0.0	184.925009	39.001128	10.035706	48.513534	43.489543	14.018275	33.644951	21.825005	17.509479	13.7246	12.351051	6621.800372	7038.535232	697.376169
bin_3_NNNGIFOF_01505	11.730663	0.0	44.523361	221.884066	31.110276	12.919044	33.014157	25.984401	7.768509	0.0	0.0	11.205946	0.0	11.83719	0.0	0.0	0.0
bin_3_NNNGIFOF_03207	4.830171	10.055169	6.03625	150.206011	43.173201	75.649443	91.270432	46.894346	7.799928	0.0	2.838732	4.55744	5.363957	14.47226	0.0	0.0	0.0
bin_30_PBEBEICL_00194	76.810908	0.0	0.0	68.789959	62.020069	44.020927	0.0	44.837025	107.672974	264.763525	330.521988	261.967101	131.18323	79.162556	0.0	0.0	0.0
bin_30_PBEBEICL_00621	10.363487	0.0	0.0	0.0	10.974633	5.684601	7.432548	0.0	30.730305	115.587668	129.484183	148.133888	173.606156	73.053332	0.0	0.0	0.0
bin_30_PBEBEICL_00622	8.705483	9.09636	0.0	15.38721	22.998548	9.50569	6.47642	38.120492	28.510061	119.848191	165.131732	74.438923	135.879747	104.938132	0.0	0.0	0.0
bin_30_PBEBEICL_01392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.678989	106.967367	88.997533	105.949156	164.930149	37.330162	0.0	0.0	0.0
bin_30_PBEBEICL_01393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.293443	212.478421	37.423872	87.455487	39.581278	0.0	0.0	0.0
bin_30_PBEBEICL_01394	0.0	14.682626	0.0	0.0	0.0	7.745475	0.0	23.423366	41.988386	104.775918	121.039229	40.215848	62.641799	141.47883	0.0	0.0	0.0
bin_30_PBEBEICL_01395	0.0	0.0	23.727384	0.0	9.937337	31.269344	44.362502	137.037813	126.044164	230.147928	152.406154	251.375269	167.356217	132.449943	0.0	0.0	0.0
bin_30_PBEBEICL_01759	0.0	9.959988	0.0	44.930888	0.0	10.42371	4.442185	20.918304	90.723626	35.078862	180.991257	172.180824	148.782865	95.789815	0.0	0.0	0.0
bin_30_PBEBEICL_01818	7.222345	0.0	18.128276	110.460952	19.094216	0.0	5.278288	19.654733	63.521825	59.309796	102.411207	184.779468	153.800168	152.018241	0.0	12.83749	23.625225
bin_31_GEBKPEPI_00943	26.388379	49.462433	72.607978	43.373727	147.152392	396.683941	484.58622	148.273863	65.978667	19.116049	25.747427	29.90188	11.727154	42.196259	0.0	0.0	185.409247
